CSDUID,CSDNAME,CSDTYPE,CMHC_CSDUID
3543069,Christian Island 30,IRI,3543069
3543070,Christian Island 30A,IRI,3543070
3543071,Tay,TP,3543071
3543072,Penetanguishene,T,3543072
3543074,Midland,T,3543074
3544002,Gravenhurst,T,3544002
3544018,Bracebridge,T,3544018
3544027,Lake of Bays,TP,35R4043
3544042,Huntsville,T,3544042
3544053,Muskoka Lakes,TP,35R4044
3544065,Georgian Bay,TP,35R3072
3544071,Wahta Mohawk Territory,IRI,3544071
3544073,Moose Point 79,IRI,3544073
3546005,Highlands East,MU,35R3074
3546015,Minden Hills,TP,35R3027
3546018,Algonquin Highlands,TP,35R4003
3546024,Dysart et al,MU,35R5004
3547002,Arnprior,T,35R4062
3547003,McNab/Braeside,TP,35R4016
3547008,Greater Madawaska,TP,35R3028
3547020,"Brudenell, Lyndoch and Raglan",TP,35R3056
3547030,Madawaska Valley,TP,35R3080
3547033,"Killaloe, Hagarty and Richards",TP,35R3030
3547035,Bonnechere Valley,TP,35R3003
3547037,Pikwakanagan (Golden Lake 39),IRI,3547037
3547043,Admaston/Bromley,TP,35R3042
3547046,Horton,TP,35R3031
3547048,Renfrew,T,35R5021
3547056,Whitewater Region,TP,35R4036
3547064,Pembroke,CY,3547064
3547070,North Algona Wilberforce,TP,35R3095
3547075,Laurentian Valley,TP,3547075
3547076,Petawawa,T,3547076
3547090,Laurentian Hills,T,35R3032
3547096,Deep River,T,35R3063
3547098,"Head, Clara and Maria",TP,35R0012
3548001,South Algonquin,TP,35R3102
3548013,Papineau-Cameron,TP,35R1054
3548019,Mattawan,TP,35R0048
3548021,Mattawa,T,35R3086
3548022,Calvin,MU,35R1023
3548027,Bonfield,TP,3548027
3548031,Chisholm,TP,35R3059
3548034,East Ferris,MU,3548034
3548044,North Bay,CY,3548044
3548055,West Nipissing / Nipissing Ouest,M,3548055
3548069,Temagami,MU,35R1005
3548072,Bear Island 1,IRI,3548072
3548073,Nipissing 10,IRI,3548073
3548091,"Nipissing, Unorganized, South Part",NO,3548091
3548094,"Nipissing, Unorganized, North Part",NO,3548094
3549003,Seguin,TP,35R3101
3549005,The Archipelago,TP,35R1064
