CTUID,CSDUID,CSDNAME,METCODE,METNAME_EN,NBHDCODE,NBHDNAME_EN,CMHC_CT,GeographyId
5430203.00,3529020,Six Nations (Part) 40,0125,Brantford,900,Brant,0203.00,01259000203.00
5500001.02,3523008,Guelph,0460,Guelph,620,South,0001.02,04606200001.02
5500001.03,3523008,Guelph,0460,Guelph,620,South,0001.03,04606200001.03
5500001.05,3523008,Guelph,0460,Guelph,620,South,0001.05,04606200001.05
5500001.06,3523008,Guelph,0460,Guelph,620,South,0001.06,04606200001.06
5500001.07,3523008,Guelph,0460,Guelph,620,South,0001.07,04606200001.07
5500001.08,3523008,Guelph,0460,Guelph,620,South,0001.08,04606200001.08
5500001.09,3523008,Guelph,0460,Guelph,620,South,0001.09,04606200001.09
5500002.00,3523008,Guelph,0460,Guelph,620,South,0002.00,04606200002.00
5500003.00,3523008,Guelph,0460,Guelph,900,East,0003.00,04609000003.00
5500004.01,3523008,Guelph,0460,Guelph,900,East,0004.01,04609000004.01
5500004.02,3523008,Guelph,0460,Guelph,900,East,0004.02,04609000004.02
5500004.03,3523008,Guelph,0460,Guelph,900,East,0004.03,04609000004.03
5500005.00,3523008,Guelph,0460,Guelph,900,East,0005.00,04609000005.00
5500006.00,3523008,Guelph,0460,Guelph,610,Central,0006.00,04606100006.00
5500007.00,3523008,Guelph,0460,Guelph,610,Central,0007.00,04606100007.00
5500008.00,3523008,Guelph,0460,Guelph,610,Central,0008.00,04606100008.00
5500009.03,3523008,Guelph,0460,Guelph,320,West,0009.03,04603200009.03
5500009.04,3523008,Guelph,0460,Guelph,320,West,0009.04,04603200009.04
5500009.05,3523008,Guelph,0460,Guelph,320,West,0009.05,04603200009.05
5500009.06,3523008,Guelph,0460,Guelph,320,West,0009.06,04603200009.06
5500010.01,3523008,Guelph,0460,Guelph,320,West,0010.01,04603200010.01
5500010.02,3523008,Guelph,0460,Guelph,320,West,0010.02,04603200010.02
5500011.00,3523008,Guelph,0460,Guelph,320,West,0011.00,04603200011.00
5500012.00,3523008,Guelph,0460,Guelph,900,East,0012.00,04609000012.00
5500013.01,3523008,Guelph,0460,Guelph,900,East,0013.01,04609000013.01
5500013.02,3523008,Guelph,0460,Guelph,900,East,0013.02,04609000013.02
5500014.00,3523009,Guelph/Eramosa,0460,Guelph,310,Guelph/Eramosa and Puslinch,0014.00,04603100014.00
5500015.00,3523008,Guelph,0460,Guelph,320,West,0015.00,04603200015.00
5500100.00,3523009,Guelph/Eramosa,0460,Guelph,310,Guelph/Eramosa and Puslinch,0100.00,04603100100.00
5500101.00,3523001,Puslinch,0460,Guelph,310,Guelph/Eramosa and Puslinch,0101.00,04603100101.00
5370001.01,3525005,Hamilton,0610,Hamilton,525,Mountain A,0001.01,06105250001.01
5370001.02,3525005,Hamilton,0610,Hamilton,525,Mountain A,0001.02,06105250001.02
5370001.04,3525005,Hamilton,0610,Hamilton,525,Mountain A,0001.04,06105250001.04
5370001.05,3525005,Hamilton,0610,Hamilton,525,Mountain A,0001.05,06105250001.05
5370001.06,3525005,Hamilton,0610,Hamilton,525,Mountain A,0001.06,06105250001.06
5370001.07,3525005,Hamilton,0610,Hamilton,525,Mountain A,0001.07,06105250001.07
5370001.08,3525005,Hamilton,0610,Hamilton,525,Mountain A,0001.08,06105250001.08
5370001.09,3525005,Hamilton,0610,Hamilton,525,Mountain A,0001.09,06105250001.09
5370002.01,3525005,Hamilton,0610,Hamilton,560,Mountain B,0002.01,06105600002.01
5370002.03,3525005,Hamilton,0610,Hamilton,560,Mountain B,0002.03,06105600002.03
5370002.04,3525005,Hamilton,0610,Hamilton,560,Mountain B,0002.04,06105600002.04
5370002.05,3525005,Hamilton,0610,Hamilton,560,Mountain B,0002.05,06105600002.05
5370002.06,3525005,Hamilton,0610,Hamilton,560,Mountain B,0002.06,06105600002.06
5370003.01,3525005,Hamilton,0610,Hamilton,490,Mountain C,0003.01,06104900003.01
5370003.02,3525005,Hamilton,0610,Hamilton,490,Mountain C,0003.02,06104900003.02
5370003.03,3525005,Hamilton,0610,Hamilton,490,Mountain C,0003.03,06104900003.03
5370003.04,3525005,Hamilton,0610,Hamilton,490,Mountain C,0003.04,06104900003.04
